parkinglot_id,parkinglot_name,latitude,longitude,parkinglot_div,parkinglot_type,parkinglot_num,parkinglot_cost,parkinglot_add,parkinglot_time
19708,군포역1길공영주차장,37.353157,126.946144,공영,노상,20,유료,경기도 군포시 당동 777-1,"일요일,공휴일 휴무"
19709,백길마을 주차장,36.00492,126.945048,공영,노외,20,무료,전라북도 익산시 황등면 황등리 1084-4,연중 무휴
19710,홍제3동 제2공영주차장,37.58781176,126.9447067,공영,노외,27,유료,서울특별시 서대문구 홍제3동 8-173,연중 무휴
19711,송죽공영주차장,37.360924,126.944478,공영,노외,333,유료,경기도 군포시 금정동 774,"주말,공휴일 휴무"
19712,군포로 노상주차장,37.372213,126.9434,공영,노상,50,무료,경기도 군포시 금정역 철로변,연중 무휴
19713,바위백이공영주차장,37.370409,126.943146,공영,노외,28,유료,경기도 군포시 산본동 242,"일요일,공휴일 휴무"
19714,안금정공영주차장,37.364294,126.942939,공영,노외,44,유료,경기도 군포시 금정동 724-6,연중 무휴
19715,문화공영주차장,37.345977,126.942837,공영,노외,76,유료,경기도 군포시 당동 872-1,"일요일,공휴일 휴무"
19716,당동1공영주차장,37.353857,126.942741,공영,노외,83,유료,경기도 군포시 당동 945,연중 무휴
19717,호비로복개,37.3920507,126.9427188,공영,노외,99,무료,경기도 안양시 동안구 호계2동 1009,연중 무휴
19718,호비로복개,37.3920507,126.9427188,공영,노외,99,무료,경기도 안양시 동안구 호계2동 1009,연중 무휴
19719,유진상가 앞 공영주차장,37.59089199,126.942295,공영,노상,35,유료,서울특별시 서대문구 홍제3동 294-4,"일요일,공휴일 휴무"
19720,인왕시장 앞 공영주차장,37.59089199,126.942295,공영,노상,29,유료,서울특별시 서대문구 홍제3동 294-4,"일요일,공휴일 휴무"
19721,간교마을 주차장,36.074752,126.942256,공영,노외,10,무료,전라북도 익산시 성당면 와초리 43-1,연중 무휴
19722,산본천공영주차장,37.371393,126.941727,공영,노외,74,유료,경기도 군포시 산본동 100,연중 무휴
19723,당말공영주차장,37.355758,126.94149,공영,노외,26,무료,경기도 군포시 당동 869,연중 무휴
19724,금산로2공영주차장,37.362733,126.941282,공영,노상,25,무료,경기도 군포시 금정동 722-7,연중 무휴
19725,송학동사무소 주차장,35.939716,126.94115,공영,노상,30,무료,전라북도 익산시 송학동 97-3,연중 무휴
